Module Number,Module Name,Feature Number,Feature Name,Operation Code,Operation Description
1,Policy Authoring & Collaboration,F1.1,Policy Editor,CREATE_POLICY,Create new policy from scratch or template
1,Policy Authoring & Collaboration,F1.1,Policy Editor,EDIT_POLICY,Edit existing policy content
1,Policy Authoring & Collaboration,F1.1,Policy Editor,FORMAT_TEXT,"Apply formatting (bold, italic, headings, lists)"
1,Policy Authoring & Collaboration,F1.1,Policy Editor,INSERT_TABLE,Add table to policy
1,Policy Authoring & Collaboration,F1.1,Policy Editor,INSERT_LINK,Add hyperlink to related policy or external resource
1,Policy Authoring & Collaboration,F1.1,Policy Editor,ADD_SECTION,Add new section to policy
1,Policy Authoring & Collaboration,F1.1,Policy Editor,REORDER_SECTIONS,Change section order
1,Policy Authoring & Collaboration,F1.1,Policy Editor,DELETE_SECTION,Remove section
1,Policy Authoring & Collaboration,F1.1,Policy Editor,PREVIEW_POLICY,See how policy will look to employees
1,Policy Authoring & Collaboration,F1.1,Policy Editor,EXPORT_PDF,Export policy as PDF
1,Policy Authoring & Collaboration,F1.2,Version Control System,AUTO_SAVE,Automatically save changes
1,Policy Authoring & Collaboration,F1.2,Version Control System,MANUAL_SAVE,Manually save with version note
1,Policy Authoring & Collaboration,F1.2,Version Control System,VIEW_VERSIONS,See all versions of policy
1,Policy Authoring & Collaboration,F1.2,Version Control System,COMPARE_VERSIONS,View differences between two versions
1,Policy Authoring & Collaboration,F1.2,Version Control System,ROLLBACK_VERSION,Restore previous version
1,Policy Authoring & Collaboration,F1.2,Version Control System,VIEW_AUDIT_TRAIL,See who changed what when
1,Policy Authoring & Collaboration,F1.2,Version Control System,EXPORT_AUDIT,Export audit trail for compliance
1,Policy Authoring & Collaboration,F1.2,Version Control System,CREATE_BRANCH,Create draft branch for major revision
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,SHOW_PRESENCE,Show who's currently editing
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,REALTIME_EDIT,Edit simultaneously with others
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,ADD_COMMENT,Add inline comment
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,REPLY_COMMENT,Reply to comment thread
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,RESOLVE_COMMENT,Mark comment as resolved
